class,index,true,pred,misclassified,perturb_norm_l2
0,0,0,1,True,774.99853515625
0,1,0,2,True,750.1591796875
0,2,0,2,True,0.0
0,3,0,3,True,796.8077392578125
0,4,0,2,True,799.19970703125
0,5,0,1,True,787.5653686523438
0,6,0,3,True,793.4393310546875
0,7,0,3,True,784.7174682617188
0,8,0,2,True,792.7920532226562
0,9,0,3,True,785.7893676757812
0,10,0,3,True,783.7651977539062
0,11,0,2,True,788.226806640625
0,12,0,2,True,673.6576538085938
0,13,0,3,True,760.1583251953125
0,14,0,3,True,763.974609375
0,15,0,8,True,781.5804443359375
0,16,0,2,True,792.5512084960938
0,17,0,2,True,661.0855712890625
0,18,0,2,True,801.9260864257812
0,19,0,2,True,775.6283569335938
0,20,0,2,True,811.1517333984375
0,21,0,3,True,771.1779174804688
0,22,0,3,True,785.6528930664062
0,23,0,3,True,781.0113525390625
0,24,0,2,True,794.0253295898438
0,25,0,2,True,781.9515380859375
0,26,0,3,True,739.1575317382812
0,27,0,8,True,797.6968994140625
0,28,0,2,True,715.6048583984375
0,29,0,3,True,776.6881103515625
0,30,0,1,True,793.6644287109375
0,31,0,2,True,790.8516235351562
0,32,0,1,True,786.5046997070312
0,33,0,2,True,716.8707885742188
0,34,0,3,True,789.7670288085938
0,35,0,3,True,772.0498657226562
0,36,0,3,True,783.0302734375
0,37,0,3,True,775.9254760742188
0,38,0,9,True,778.0050659179688
0,39,0,1,True,798.158447265625
0,40,0,3,True,795.0546264648438
0,41,0,3,True,759.5990600585938
0,42,0,1,True,781.203369140625
0,43,0,3,True,785.0685424804688
0,44,0,3,True,793.7848510742188
0,45,0,3,True,792.8253784179688
0,46,0,2,True,792.2424926757812
0,47,0,3,True,775.7291870117188
0,48,0,2,True,786.56787109375
0,49,0,2,True,793.1047973632812
0,50,0,2,True,789.1116333007812
0,51,0,3,True,777.86767578125
0,52,0,3,True,792.991943359375
0,53,0,3,True,786.4315185546875
0,54,0,6,True,763.6141967773438
0,55,0,9,True,786.2720947265625
0,56,0,2,True,775.509765625
0,57,0,3,True,786.310546875
0,58,0,2,True,770.2129516601562
0,59,0,6,True,774.6904907226562
0,60,0,3,True,757.3514404296875
0,61,0,3,True,797.6838989257812
0,62,0,1,True,787.9661254882812
0,63,0,1,True,761.5909423828125
0,64,0,3,True,784.451904296875
0,65,0,2,True,783.1405639648438
0,66,0,3,True,758.3862915039062
0,67,0,3,True,792.9826049804688
0,68,0,8,True,789.1174926757812
0,69,0,1,True,778.1263427734375
0,70,0,1,True,776.3486328125
0,71,0,2,True,766.4600219726562
0,72,0,3,True,778.4489135742188
0,73,0,2,True,781.2698974609375
0,74,0,5,True,807.9030151367188
0,75,0,3,True,798.1585693359375
0,76,0,1,True,743.9822998046875
0,77,0,3,True,792.7031860351562
0,78,0,3,True,797.1380004882812
0,79,0,2,True,750.3634643554688
0,80,0,3,True,708.2318115234375
0,81,0,2,True,786.748779296875
0,82,0,3,True,801.0885620117188
0,83,0,2,True,784.50048828125
0,84,0,3,True,795.4110717773438
0,85,0,2,True,780.605712890625
0,86,0,9,True,779.2313842773438
0,87,0,3,True,755.378662109375
0,88,0,0,False,796.4429321289062
0,89,0,6,True,787.3868408203125
0,90,0,2,True,731.4103393554688
0,91,0,8,True,705.3536987304688
0,92,0,3,True,754.3646240234375
0,93,0,3,True,718.7031860351562
0,94,0,2,True,761.0510864257812
0,95,0,8,True,796.1884155273438
0,96,0,2,True,787.9827880859375
0,97,0,2,True,781.6063842773438
0,98,0,2,True,782.1015625
0,99,0,3,True,798.7266235351562
1,100,1,3,True,785.1588745117188
1,101,1,2,True,785.1094970703125
1,102,1,3,True,785.439208984375
1,103,1,3,True,801.6043090820312
1,104,1,2,True,286.3194274902344
1,105,1,3,True,787.5491943359375
1,106,1,3,True,768.0463256835938
1,107,1,0,True,704.6643676757812
1,108,1,2,True,790.72607421875
1,109,1,3,True,787.1184692382812
1,110,1,3,True,782.121337890625
1,111,1,0,True,776.5313110351562
1,112,1,0,True,527.40966796875
1,113,1,0,True,0.0
1,114,1,3,True,771.1756591796875
1,115,1,3,True,802.5405883789062
1,116,1,3,True,760.0302124023438
1,117,1,2,True,769.950927734375
1,118,1,2,True,783.044677734375
1,119,1,3,True,793.344970703125
1,120,1,2,True,702.3985595703125
1,121,1,3,True,789.6172485351562
1,122,1,3,True,787.7994384765625
1,123,1,2,True,734.0794677734375
1,124,1,3,True,787.8635864257812
1,125,1,3,True,772.8336791992188
1,126,1,3,True,779.45849609375
